MTU,Out Area,In Area,Physical Flow (MW)
01/12/2022,EE,LV,4201.05
01/12/2022,LT,LV,0.0
01/12/2022,LV,EE,0.0
01/12/2022,LV,LT,9351.0
01/12/2023,EE,LV,7075.45
01/12/2023,LT,LV,0.0
01/12/2023,LV,EE,0.0
01/12/2023,LV,LT,6992.5
01/12/2024,EE,LV,13941.2
01/12/2024,LT,LV,404.02
01/12/2024,LV,EE,0.0
01/12/2024,LV,LT,3182.8
02/01/2021,EE,LV,7977.35
02/01/2021,LT,LV,727.0
02/01/2021,LV,EE,0.0
02/01/2021,LV,LT,6276.0
02/01/2022,EE,LV,2091.95
02/01/2022,LT,LV,10449.0
02/01/2022,LV,EE,367.7
02/01/2022,LV,LT,0.0
02/01/2023,EE,LV,3162.25
02/01/2023,LT,LV,211.0
02/01/2023,LV,EE,271.35
02/01/2023,LV,LT,4292.0
02/01/2024,EE,LV,0.0
02/01/2024,LT,LV,12250.0
02/01/2024,LV,EE,17823.95
02/01/2024,LV,LT,0.0
02/02/2021,EE,LV,4335.7
02/02/2021,LT,LV,465.5
02/02/2021,LV,EE,250.0
02/02/2021,LV,LT,8323.5
02/02/2022,EE,LV,736.15
02/02/2022,LT,LV,6459.5
02/02/2022,LV,EE,2140.05
02/02/2022,LV,LT,0.0
02/02/2023,EE,LV,2979.55
02/02/2023,LT,LV,0.0
02/02/2023,LV,EE,118.65
02/02/2023,LV,LT,10911.5
02/02/2024,EE,LV,0.0
02/02/2024,LT,LV,4673.5
02/02/2024,LV,EE,5522.2
02/02/2024,LV,LT,379.0
02/03/2021,EE,LV,6246.75
02/03/2021,LT,LV,0.0
02/03/2021,LV,EE,0.0
02/03/2021,LV,LT,10471.0
02/03/2022,EE,LV,13301.1
02/03/2022,LT,LV,0.0
02/03/2022,LV,EE,0.0
02/03/2022,LV,LT,14278.0
02/03/2023,EE,LV,10633.05
02/03/2023,LT,LV,0.0
02/03/2023,LV,EE,0.0
02/03/2023,LV,LT,17539.0
02/03/2024,EE,LV,0.0
02/03/2024,LT,LV,0.0
02/03/2024,LV,EE,12213.15
02/03/2024,LV,LT,8657.0
02/04/2021,EE,LV,5156.8
02/04/2021,LT,LV,0.0
02/04/2021,LV,EE,0.0
02/04/2021,LV,LT,10819.5
02/04/2022,EE,LV,9458.25
02/04/2022,LT,LV,159.5
02/04/2022,LV,EE,0.0
02/04/2022,LV,LT,9165.5
02/04/2023,EE,LV,1266.7
02/04/2023,LT,LV,0.0
02/04/2023,LV,EE,1094.25
02/04/2023,LV,LT,20229.5
02/04/2024,EE,LV,0.0
02/04/2024,LT,LV,220.5
02/04/2024,LV,EE,3948.25
02/04/2024,LV,LT,1941.5
02/05/2021,EE,LV,4299.5
02/05/2021,LT,LV,798.5
02/05/2021,LV,EE,0.0
02/05/2021,LV,LT,3332.0
02/05/2022,EE,LV,12406.1
02/05/2022,LT,LV,0.0
02/05/2022,LV,EE,0.0
02/05/2022,LV,LT,14956.5
02/05/2023,EE,LV,5887.05
02/05/2023,LT,LV,132.0
02/05/2023,LV,EE,284.45
02/05/2023,LV,LT,4791.0
02/05/2024,EE,LV,0.0
02/05/2024,LT,LV,1276.0
02/05/2024,LV,EE,9660.45
02/05/2024,LV,LT,1438.5
02/06/2021,EE,LV,12681.45
02/06/2021,LT,LV,0.0
02/06/2021,LV,EE,0.0
02/06/2021,LV,LT,8547.5
02/06/2022,EE,LV,15755.15
02/06/2022,LT,LV,0.0
02/06/2022,LV,EE,0.0
02/06/2022,LV,LT,10445.5
02/06/2023,EE,LV,11158.95
02/06/2023,LT,LV,308.5
02/06/2023,LV,EE,0.0
02/06/2023,LV,LT,2555.5
02/06/2024,EE,LV,652.95
02/06/2024,LT,LV,7369.5
02/06/2024,LV,EE,281.0
02/06/2024,LV,LT,0.0
02/07/2021,EE,LV,3424.4500000000003
02/07/2021,LT,LV,3888.5
02/07/2021,LV,EE,1721.7
02/07/2021,LV,LT,903.0
02/07/2022,EE,LV,11927.2
02/07/2022,LT,LV,107.0
02/07/2022,LV,EE,0.0
02/07/2022,LV,LT,4801.0
02/07/2023,EE,LV,7472.85
02/07/2023,LT,LV,705.5
02/07/2023,LV,EE,0.0
02/07/2023,LV,LT,399.5
02/07/2024,EE,LV,2574.65
02/07/2024,LT,LV,6191.0
02/07/2024,LV,EE,59.4
02/07/2024,LV,LT,0.0
02/08/2021,EE,LV,9845.6
02/08/2021,LT,LV,2916.0
02/08/2021,LV,EE,0.0
02/08/2021,LV,LT,3940.5
02/08/2022,EE,LV,14264.95
02/08/2022,LT,LV,0.0
02/08/2022,LV,EE,0.0
02/08/2022,LV,LT,5635.0
02/08/2023,EE,LV,9487.75
02/08/2023,LT,LV,2318.0
02/08/2023,LV,EE,0.0
02/08/2023,LV,LT,1419.0
02/08/2024,EE,LV,4954.9
02/08/2024,LT,LV,3373.0
02/08/2024,LV,EE,0.0
02/08/2024,LV,LT,109.5
02/09/2021,EE,LV,16418.1
02/09/2021,LT,LV,16.0
02/09/2021,LV,EE,0.0
02/09/2021,LV,LT,7804.0
02/09/2022,EE,LV,16725.9
02/09/2022,LT,LV,0.0
02/09/2022,LV,EE,0.0
02/09/2022,LV,LT,14578.0
02/09/2023,EE,LV,8391.15
02/09/2023,LT,LV,1295.5
02/09/2023,LV,EE,0.0
02/09/2023,LV,LT,687.5
02/09/2024,EE,LV,3616.7
02/09/2024,LT,LV,2158.0
02/09/2024,LV,EE,0.0
02/09/2024,LV,LT,806.5
02/10/2021,EE,LV,14468.2
02/10/2021,LT,LV,0.0
